racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,close_0,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19,row_has_proxy_features,row_train_eligible,result_bin
-6.0,0.14184198426429434,0.95,-0.16799999999999998,0.0048000000000000395,-0.06431999999999997,0.01392148404242336,0.03175384593444652,0.09082752214692053,-0.9136,0.16799999999999998,-0.7984,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2.0,0.25685565842626784,0.95,0.24400000000000005,0.048799999999999955,0.12688,0.03834179382237449,0.09439831333581183,0.17815900252646638,-0.8536,0.24400000000000005,-0.9034,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.0,0.25891134284846834,0.95,0.26659999999999995,0.06879999999999996,0.14791999999999997,0.03853767375916662,0.09596860985277689,0.1828687508860333,-0.8323,0.26659999999999995,-0.928075,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.0,0.26201758839025246,0.95,0.28319999999999995,0.08379999999999996,0.16355999999999996,0.03868739818209211,0.09718503605280893,0.18639450134315652,-0.8165,0.28319999999999995,-0.924125,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.0,0.14398911759035762,0.95,0.19659999999999997,0.13700000000000004,0.16084,0.01719914990506313,0.008137925786328992,0.05071490618294082,-0.8331999999999999,0.19659999999999997,-0.9283,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.0,0.2576778207964634,0.95,0.26,0.06280000000000001,0.14168000000000003,0.03847892033854515,0.09549510532869909,0.18146982881959103,-0.8386,0.26,-0.92965,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
3.0,0.23288832745272467,0.95,0.20180000000000006,0.16840000000000002,0.18176000000000003,0.029237802192939158,0.12526291584959803,0.2081041597812497,-0.8149,0.20180000000000006,-0.863725,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2.0,0.13944738417039912,0.95,-0.17659999999999998,-0.24400000000000005,-0.21704,0.014722389527234455,0.0036102424277625333,0.04444752419380376,-0.7897000000000001,0.17659999999999998,-0.887425,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2.0,0.1410015225554514,0.95,-0.18680000000000008,-0.2516,-0.22568000000000002,0.014772581817890974,0.0036964350617385566,0.04610741869239609,-0.7807999999999999,0.18680000000000008,-0.8852,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.17239998003214785,0.9550000000000001,-0.12459999999999993,0.09680000000000007,0.00824000000000006,0.024065738888457148,0.024433719119578035,0.08055458117240802,-0.8893,0.12459999999999993,-0.942325,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-1.0,0.19796423070939556,0.9550000000000001,-0.14879999999999996,-0.13040000000000007,-0.13776000000000005,0.02804117599573148,0.03747436485106226,0.1091305851179736,-0.8604,0.14879999999999996,-0.9351,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-1.0,0.19797619373593953,0.9550000000000001,-0.16159999999999997,-0.14019999999999996,-0.14875999999999995,0.027739405285204213,0.036361389401265876,0.10903796000219519,-0.8491000000000001,0.16159999999999997,-0.932275,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-1.0,0.19796423070939556,0.9550000000000001,-0.14879999999999996,-0.13040000000000007,-0.13776000000000005,0.02804117599573148,0.03747436485106226,0.1091305851179736,-0.8604,0.14879999999999996,-0.9351,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.0,0.07981013114896868,0.95,-0.18599999999999994,-0.07879999999999995,-0.12167999999999995,0.0029456405322657747,0.0048735348025421565,0.03598834494511252,-0.8676,0.18599999999999994,-0.9369000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.0,0.2860342586468634,0.95,-0.518,-0.13840000000000002,-0.29024000000000005,0.02416691021819125,0.024726336174580865,0.11532940127631362,-0.3771428571428572,0.518,-0.8142857142857143,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-2.0,0.2904990389421774,0.9524999999999999,-0.5226,-0.1436,-0.2952,0.02429470062201379,0.025098567985290865,0.1168536673316723,-0.3640000000000001,0.5226,-0.781,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-2.0,0.2882175919801967,0.9524999999999999,-0.518,-0.13840000000000002,-0.29024000000000005,0.02416691021819125,0.024726336174580865,0.11532940127631362,-0.3771428571428572,0.518,-0.7842857142857143,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
