racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,ts_ingest,result_bin
-1.0,0.1905246626162613,0.9550000000000001,0.0007764571156477,-0.0002653104980252,0.0014533356815463,2.7995200579155135e-05,0.0005480253742928,0.0007578517807802,0.8204144421621345,0.8027463124438277,-0.1711759432809555,0.0526315789473684,1773793671.9877443,1
-1.0,0.19065725683579948,0.9550000000000001,0.000782205216086,-0.0002595683811257,0.0014590876697319,2.9144258407814265e-05,0.0005598713448282,0.0009298663675218,1.6446963283629927,0.8103251568739652,-0.178754787711093,0.2,1773793672.043062,1
-2.0,0.19053919878866374,0.9524999999999999,0.0006907918768587,-0.0003508865627826,0.0013676125027812,1.0870219348424018e-05,0.0005535060951263,0.0009299513110332,1.5826579283828532,0.6897970825523196,-0.0582267133894474,0.2,1773793675.5671117,0
3.0,0.19000448651642335,0.95,0.0001796612488035,0.0011224912453612,0.0012529537511298,0.0002222839399997,0.0004262494835309,0.000560449952491,1.5971380946470604,0.7612973760932135,-0.0166909620994025,0.6,1773793726.7603085,0
3.0,0.10254128373154844,0.95,-0.000628220963414,-0.0017177470391464,-0.0033952116631758,-0.0006773009477424,0.00070881342146,0.0013169530579274,-1.6776003648178313,0.5235602094239991,-0.476439790576001,-1.0,1773793783.225405,1
1.0,0.09669448129899795,0.95,7.472449182241596e-05,6.44875999558842e-05,-0.0002077368148521,2.2519009114399557e-06,0.0001391875893432,0.0001647910173542,0.4805836962942566,0.5155279503103274,-0.4844720496896725,0.0526315789473684,1773793811.9305253,0
1.0,0.09579829651929614,0.95,6.653550641724265e-05,5.629869837420531e-05,-0.0002159234873586,6.141557998569702e-07,0.0001460269036798,0.0001891422032065,0.9360692735100714,0.4385964912282941,-0.3508771929839118,-0.2,1773793814.7735593,0
-3.0,0.19887437749620535,0.9537500000000001,0.0001713870242887,0.000471417095726,0.0007366300108411,0.0002506285572977,0.0005624441407636,0.0008991447448072,1.4202735907896362,1.0,0.0,0.2,1773793841.1029353,0
-1.0,0.20165629415537284,0.9550000000000001,0.000477018469692,0.0007771402240404,0.0010424341826723,0.0003117555861405,0.0005716411243741,0.0009216806744341,1.603199313006473,0.8157695897595332,0.1842304102404668,0.2,1773793868.201081,1
5.0,0.328343972566572,0.95,-0.0023298254151713,-0.0021052247296976,-0.0038266003389274,-0.0005495441765357,0.0013738567034455,0.0017759190637883,-1.7503220400503228,0.8321513002363987,0.1678486997636012,-0.2,1773793879.6316261,1
